Variable
81
45
65
68
31
50
42
80
75
64
21
53
62
47
23
68
53
67
72
23
63
33
37
34
69
18
29
56
73
50
57
54
73
77
18
67
38
59
40
40
83
46
43
70
44
47
69
82
53
38
71
78
35
32
89
84
80
53
34
81
47
18
42
63
41
74
87
48
70
69
83
86
84
25
56
44
56
42
37
53
66
55
75
43
24
56
71
66
44
73
47
76
62
33
28
87
78
49
48
48
61
27
84
26
33
66
51
44
59
71
54
47
40
28
75
21
74
67
33
24
66
69
54
18
41
36
29
84
74
79
76
56
20
50
43
54
27
78
57
45
58
42
77
61
19
72
66
85
25
19
19
30
85
38
75
27
24
83
52
86
51
64
88
25
71
82
65
61
73
84
19
34
72
83
85
33
30
58
64
34
85
55
71
65
23
83
44
85
27
70
80
44
80
61
32
21
28
78
20
69
34
46
86
35
31
31
24
71
81
51
52
24
53
58
18
75
68
60
75
18
20
35
45
72
40
66
69
37
43
79
84
49
44
34
73
63
53
20
78
76
21
25
38
35
49
44
31
45
71
66
37
75
56
33
36
56
80
85
20
77
19
35
88
41
29
72
43
68
44
32
41
21
73
47
68
56
67
20
83
62
57
40
76
83
71
43
35
30
71
53
54
27
63
81
38
25
85
63
63
47
41
57
82
47
28
44
20
19
35
42
69
30
26
35
29
68
21
73
83
24
76
76
65
70
25
81
68
84
66
70
46
21
21
26
38
20
40
61
69
54
27
61
56
33
27
42
21
39
60
29
